Id;Titol;Autor;AnyCreacio;Etiquetes;RutaFitxer;Amplada;Alçada;EspaiColor;ResolucioDPI;TipusCompressio;ModelCamera;OberturaDiafragma;ISO
iFx1WMvjvpw;Man picking fruit from a tree;;2025;BalançDeBlancs|RevelatDigital|RetratNarratiu|ComposicioVisual|ProfunditatDeCamp;https://images.unsplash.com/photo-1761839259494-71caddcdd6b3?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwxfHx8fHx8fHwxNzcxMDExODgwfA&ixlib=rb-4.1.0&q=80&w=1080;8192;5464;#738c40;150;TIFF;Fujifilm X-T4;8;200
IVMVephouOU;Golden sunset over the calm ocean with clouds;;2026;LlumNatural|RevelatDigital|ComposicioVisual|Enquadrament|Instantania|SensibilitatISO;https://images.unsplash.com/photo-1770009079291-82b8a594ee23?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwyfHx8fHx8fHwxNzcxMDExODgwfA&ixlib=rb-4.1.0&q=80&w=1080;2206;3130;#404040;72;JPEG;Canon EOS 5D;4;100
1QAVTXyzpsc;Sunlight glints off a canal with buildings and boat.;;2026;DistanciaFocal|Enquadrament;https://images.unsplash.com/photo-1770037367952-dcf2a9ea64c8?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzfHx8fHx8fHwxNzcxMDExODgwfA&ixlib=rb-4.1.0&q=80&w=1080;4608;3456;#f3f3f3;300;JPEG;Nikon D850;4;400
tssWGRs-RWw;Rows of windows and air conditioning units on a building.;;2026;;https://images.unsplash.com/photo-1770064319334-2c61b12dd2cc?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw0fHx8fHx8fHwxNzcxMDExODgwfA&ixlib=rb-4.1.0&q=80&w=1080;5472;3648;#262626;72;TIFF;Fujifilm X-T4;5,6;400
dQ7t_s219Vg;Frozen riverbank with dark water and ice formations;;2026;SensibilitatISO|RevelatDigital;https://images.unsplash.com/photo-1770462988071-9206a6a2bb01?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw1fHx8fHx8fHwxNzcxMDExODgwfA&ixlib=rb-4.1.0&q=80&w=1080;3948;5272;#c0c0d9;96;WebP;Canon EOS 5D;1,8;1600
s7avhwAg060;Sunlight streams through a window onto a sofa.;;2026;SensibilitatISO;https://images.unsplash.com/photo-1770537255527-56276fcf82a7?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw2fHx8fHx8fHwxNzcxMDExODgwfA&ixlib=rb-4.1.0&q=80&w=1080;6336;9520;#260c0c;300;WebP;Fujifilm X-T4;8;1600
KGshpkjF5D0;Dining area with chairs around a table;;2026;DistanciaFocal|RetratNarratiu|SensibilitatISO;https://images.unsplash.com/photo-1770646305413-14b76d53a516?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw3fHx8fHx8fHwxNzcxMDExODgwfA&ixlib=rb-4.1.0&q=80&w=1080;3400;2267;#d9c0c0;150;TIFF;Leica M10;2,8;3200
DWv3vEGKW1E;Family riding in a utility vehicle through a field.;;2025;RevelatDigital;https://images.unsplash.com/photo-1761839257864-c6ccab7238de?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHw4fHx8fHx8fHwxNzcxMDExODgwfA&ixlib=rb-4.1.0&q=80&w=1080;7730;5153;#d9f3f3;300;PNG;Canon EOS 5D;4;800
FYIR1MDv8wc;A textured golden bust with no facial features.;;2026;VelocitatDObturacio|DistanciaFocal|RetratNarratiu|ComposicioVisual|BalançDeBlancs;https://images.unsplash.com/photo-1770701229539-4edf982f3f17?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHw5fHx8fHx8fHwxNzcxMDExODgwfA&ixlib=rb-4.1.0&q=80&w=1080;6697;8000;#260c0c;96;WebP;Leica M10;4;1600
uHVxeH_pOIc;Close-up of a pelican's head against a dark background;;2026;VelocitatDObturacio|SensibilitatISO;https://images.unsplash.com/photo-1770660284949-4f404bcd1192?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMHx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;6615;5292;#262626;96;WebP;Sony A7R;1,4;800
WAXtxq-RJas;People silhouetted against large window at sunset;;2026;RetratNarratiu|LlumNatural|ProfunditatDeCamp|SensibilitatISO|Fotometria|Instantania;https://images.unsplash.com/photo-1770665370506-d7ea87cb1261?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMXx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;3130;2075;#26260c;96;PNG;Nikon D850;8;400
j8SjCSSmvRQ;People surfing in the ocean at sunset with rocks.;;2026;RevelatDigital|BalançDeBlancs|ProfunditatDeCamp|LlumNatural;https://images.unsplash.com/photo-1770944661223-7311912db601?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxMnx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;3796;5230;#f3f3d9;72;TIFF;Leica M10;2,8;1600
oVh_ORrVPyM;Woman in a fairy costume with wings and a light;;2026;RetratNarratiu|SensibilitatISO|LlumNatural|BalançDeBlancs|ProfunditatDeCamp;https://images.unsplash.com/photo-1770872937735-277e82b6de0f?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxM3x8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;4000;6000;#260c0c;300;JPEG;Sony A7R;2,8;400
j7Uv1Y_A7dY;Modern bathroom with double sinks and freestanding bathtub;;2026;RetratNarratiu|ComposicioVisual|SensibilitatISO|Instantania|Enquadrament;https://images.unsplash.com/photo-1770941450515-50f2b8ca380b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNHx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;3400;2267;#a6a6a6;96;WebP;Sony A7R;2,8;1600
m9cBmbOQCmQ;Family cooking together in a bright kitchen.;;2025;LlumNatural;https://images.unsplash.com/photo-1761839258568-fd466a93f68b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwxNXx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;8192;5464;#f3f3f3;150;TIFF;Fujifilm X-T4;5,6;800
7VTKbHqli9c;A delicate frosty plant in a winter landscape;;2026;RevelatDigital|BalançDeBlancs|ProfunditatDeCamp|ComposicioVisual|Enquadrament;https://images.unsplash.com/photo-1770674866926-99563864ce39?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxNnx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;8256;5504;#c0c0c0;96;WebP;Sony A7R;2,8;400
5cwDZm0WU7Q;Traditional japanese storefront with yellow flowers.;;2026;SensibilitatISO|RetratNarratiu|RevelatDigital|BalançDeBlancs|Fotometria|Instantania;https://images.unsplash.com/photo-1770548037630-3d2a2a367ef5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxN3x8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;5757;8650;#262626;150;WebP;Nikon D850;8;1600
VZ4AtWpuZl4;Snow covered trees in a serene winter forest;;2026;RetratNarratiu|SensibilitatISO|Fotometria|ProfunditatDeCamp|Instantania|DistanciaFocal;https://images.unsplash.com/photo-1770295149972-23080dee6040?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxOHx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;6083;3422;#d9d9f3;150;PNG;Fujifilm X-T4;5,6;100
gjI-YoxuFys;Majestic mountains reflected in a serene lake at sunrise.;;2026;;https://images.unsplash.com/photo-1770341989953-f3efb336f7eb?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwxOXx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;8766;5361;#404040;150;WebP;Canon EOS 5D;5,6;3200
m8dglFjQm08;Snowy city street with tall buildings and cars.;;2026;Enquadrament|RetratNarratiu|ComposicioVisual|ProfunditatDeCamp;https://images.unsplash.com/photo-1770319125023-0c26b193507b?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwyMHx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;4000;6000;#8ca6a6;96;WebP;Fujifilm X-T4;5,6;200
ZdenpJd5zF4;Couple celebrating with champagne on the beach at night;;2026;DistanciaFocal;https://images.unsplash.com/photo-1770260311915-93917cbe06d0?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwyMXx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;3894;4867;#a68c73;96;TIFF;Canon EOS 5D;1,4;1600
TQSvFz7NHuo;Mailbox and sign for strawberry hill farm;;2025;SensibilitatISO|ProfunditatDeCamp|Enquadrament|RetratNarratiu|LlumNatural|VelocitatDObturacio;https://images.unsplash.com/photo-1761839259946-2d80f8e72e18?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwyMnx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;8640;5760;#d9f3f3;150;WebP;Canon EOS 5D;1,4;100
ymlIgfTVm8M;A drone hovers above a person's outstretched hand.;;2026;RevelatDigital|Enquadrament|ComposicioVisual|ProfunditatDeCamp;https://images.unsplash.com/photo-1770260071751-0711b6f26ff4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwyM3x8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;2218;2773;#8c8c8c;300;JPEG;Sony A7R;4;100
drg6s76J8YU;Man writing on a large 2026 calendar;;2026;Enquadrament|BalançDeBlancs|SensibilitatISO|VelocitatDObturacio|LlumNatural|Fotometria;https://images.unsplash.com/photo-1770250959829-de36726e99c4?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwyNHx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;7260;4840;#d9d9d9;96;TIFF;Leica M10;4;400
-pKhrem8YpE;Vibrant neon signs illuminate a city street at night.;;2026;BalançDeBlancs|RetratNarratiu|ComposicioVisual|DistanciaFocal|RevelatDigital;https://images.unsplash.com/photo-1770297345789-d72e0ac1d366?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwyNXx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;5280;3520;#0c2626;96;WebP;Canon EOS 5D;1,8;1600
Op4ZQvNmGuU;Cityscape at dusk with illuminated buildings and colorful sky.;;2026;;https://images.unsplash.com/photo-1770297346024-a562bdb33018?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwyNnx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;6000;4000;#0c2640;300;PNG;Nikon D850;1,8;200
s_AvvnQIan8;Colorful buildings line a beach below a rocky mountain.;;2026;ComposicioVisual|RevelatDigital;https://images.unsplash.com/photo-1770919582693-3c750861c887?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwyN3x8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;6240;4160;#d9d9d9;300;JPEG;Nikon D850;2,8;3200
okm-A6ROIM8;Palm trees silhouetted against a sunset over the ocean.;;2026;VelocitatDObturacio|Enquadrament|Fotometria;https://images.unsplash.com/photo-1770934800594-f1deaef763bd?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwyOHx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;4826;7239;#d9c0a6;72;TIFF;Fujifilm X-T4;1,8;800
MjH55Ef3w_0;Small town street at dusk with american flags.;;2025;Instantania|SensibilitatISO|RetratNarratiu|Enquadrament|LlumNatural;https://images.unsplash.com/photo-1761839259488-2bdeeae794f5?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MXwxfGFsbHwyOXx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;8660;5773;#594040;300;TIFF;Nikon D850;5,6;200
cpHjqeTxRqc;Person standing in calm ocean water at the beach.;;2026;VelocitatDObturacio|DistanciaFocal|SensibilitatISO|Enquadrament|RetratNarratiu|Fotometria;https://images.unsplash.com/photo-1770425229252-5ec4b45ccc00?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzMHx8fHx8fHx8MTc3MTAxMTg4MHw&ixlib=rb-4.1.0&q=80&w=1080;3648;5472;#d9f3f3;150;JPEG;Nikon D850;1,8;1600
MivRywDQOjs;Cracked ice pieces floating on dark water surface.;;2026;Enquadrament;https://images.unsplash.com/photo-1770462988117-3c5b483b1296?crop=entropy&cs=tinysrgb&fit=max&fm=jpg&ixid=M3w4NzQwMzh8MHwxfGFsbHwzMXx8fHx8fHx8MTc3MTAxMjAxMHw&ixlib=rb-4.1.0&q=80&w=1080;3948;5272;#0c2626;150;TIFF;Leica M10;5,6;400
